Year_Posted,AU,CA,DE,GB,US
1998,8.0,,,4.0,801.0
1999,21.0,7.0,4.0,17.0,4156.0
2000,23.0,247.0,3.0,74.0,2495.0
2001,50.0,150.0,8.0,152.0,3018.0
2002,63.0,209.0,5.0,167.0,3506.0
2003,60.0,371.0,8.0,177.0,3894.0
2004,60.0,368.0,5.0,148.0,4266.0
2005,59.0,255.0,5.0,169.0,4450.0
2006,55.0,167.0,6.0,204.0,3646.0
2007,39.0,205.0,10.0,149.0,4195.0
2008,26.0,136.0,15.0,132.0,4623.0
2009,21.0,171.0,11.0,251.0,5140.0
2010,13.0,168.0,6.0,139.0,3935.0
2011,19.0,162.0,4.0,67.0,5115.0
2012,21.0,270.0,9.0,98.0,7365.0
2013,35.0,304.0,9.0,71.0,6873.0
2014,20.0,76.0,4.0,31.0,2815.0
